group,exp_name,model,arch,patch,lr,loss
D,GD_0248_B_channel_attn_p256_lr2e-04_L1,B,channel_attn,256,0.0002,L1
D,GD_0249_B_channel_attn_p256_lr2e-04_L1PercSSIMFreq,B,channel_attn,256,0.0002,L1+Perc+SSIM+Freq
D,GD_0250_B_channel_attn_p256_lr4e-04_L1,B,channel_attn,256,0.0004,L1
D,GD_0251_B_channel_attn_p256_lr4e-04_L1PercSSIMFreq,B,channel_attn,256,0.0004,L1+Perc+SSIM+Freq
E,GE_0252_S_freq_deformable_p128_lr1e-04_L1,S,freq_deformable,128,0.0001,L1
E,GE_0253_S_freq_deformable_p128_lr1e-04_L1PercSSIMFreq,S,freq_deformable,128,0.0001,L1+Perc+SSIM+Freq
E,GE_0254_S_freq_deformable_p128_lr2e-04_L1,S,freq_deformable,128,0.0002,L1
E,GE_0255_S_freq_deformable_p128_lr2e-04_L1PercSSIMFreq,S,freq_deformable,128,0.0002,L1+Perc+SSIM+Freq
E,GE_0256_S_freq_deformable_p128_lr4e-04_L1,S,freq_deformable,128,0.0004,L1
E,GE_0257_S_freq_deformable_p128_lr4e-04_L1PercSSIMFreq,S,freq_deformable,128,0.0004,L1+Perc+SSIM+Freq
E,GE_0258_S_freq_deformable_p256_lr1e-04_L1,S,freq_deformable,256,0.0001,L1
E,GE_0259_S_freq_deformable_p256_lr1e-04_L1PercSSIMFreq,S,freq_deformable,256,0.0001,L1+Perc+SSIM+Freq
E,GE_0260_S_freq_deformable_p256_lr2e-04_L1,S,freq_deformable,256,0.0002,L1
E,GE_0261_S_freq_deformable_p256_lr2e-04_L1PercSSIMFreq,S,freq_deformable,256,0.0002,L1+Perc+SSIM+Freq
E,GE_0262_S_freq_deformable_p256_lr4e-04_L1,S,freq_deformable,256,0.0004,L1
E,GE_0263_S_freq_deformable_p256_lr4e-04_L1PercSSIMFreq,S,freq_deformable,256,0.0004,L1+Perc+SSIM+Freq
E,GE_0264_B_freq_deformable_p128_lr1e-04_L1,B,freq_deformable,128,0.0001,L1
E,GE_0265_B_freq_deformable_p128_lr1e-04_L1PercSSIMFreq,B,freq_deformable,128,0.0001,L1+Perc+SSIM+Freq
E,GE_0266_B_freq_deformable_p128_lr2e-04_L1,B,freq_deformable,128,0.0002,L1
E,GE_0267_B_freq_deformable_p128_lr2e-04_L1PercSSIMFreq,B,freq_deformable,128,0.0002,L1+Perc+SSIM+Freq
E,GE_0268_B_freq_deformable_p128_lr4e-04_L1,B,freq_deformable,128,0.0004,L1
E,GE_0269_B_freq_deformable_p128_lr4e-04_L1PercSSIMFreq,B,freq_deformable,128,0.0004,L1+Perc+SSIM+Freq
E,GE_0270_B_freq_deformable_p256_lr1e-04_L1,B,freq_deformable,256,0.0001,L1
E,GE_0271_B_freq_deformable_p256_lr1e-04_L1PercSSIMFreq,B,freq_deformable,256,0.0001,L1+Perc+SSIM+Freq
E,GE_0272_B_freq_deformable_p256_lr2e-04_L1,B,freq_deformable,256,0.0002,L1
E,GE_0273_B_freq_deformable_p256_lr2e-04_L1PercSSIMFreq,B,freq_deformable,256,0.0002,L1+Perc+SSIM+Freq
E,GE_0274_B_freq_deformable_p256_lr4e-04_L1,B,freq_deformable,256,0.0004,L1
E,GE_0275_B_freq_deformable_p256_lr4e-04_L1PercSSIMFreq,B,freq_deformable,256,0.0004,L1+Perc+SSIM+Freq
